station_code,areas,region
291,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",PUNJAB
292,"GHAGGAR NEAR BANKARPUR,DERA BASSI,PUNJAB",PUNJAB
293,"GHAGGAR AT RATANHERI, D/S OF PATIALA NaNDI (AFTER CONFL.), PUNJAB",PUNJAB
294,"D/S CHHATBIR, PUNJAB",PUNJAB
295,"U/S DHAKANSU NaNLLAH, PUNJAB",PUNJAB
296,"D/S DHAKANSU NaNLLAH, PUNJAB",PUNJAB
297,"D/S JHARMAL NaNDI, PUNJAB",PUNJAB
298,"U/S JHARMAL NaNDI, PUNJAB",PUNJAB
299,"GHAGGER AT MOONaNK, PUNJAB",PUNJAB
300,"D/S SARDULGARH, PUNJAB",PUNJAB
301,"U/S SARDULGARH, PUNJAB",PUNJAB
302,"GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANaN NEAR RD NO. 629, RAJASTHAN",RAJASTHAN
303,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",HIMACHAL PRADESH
304,MARKANDA U/S KALA AMB,HIMACHAL PRADESH
305,MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANaN,HIMACHAL PRADESH
306,"RIVER SUKHANaN AT PARWANOO, DISTT. SOLAN, H.P.",HIMACHAL PRADESH
307,"RIVER JAWAI AT JAWAI DAM, SIROHI, RAJASTHAN",RAJASTHAN
308,"KODRA DAM, MOUNT ABU, RAJASTHAN",RAJASTHAN
309,"RIVER BANDI AT HEMAWAS DAM, PALI, RAJASTHAN",RAJASTHAN
310,"RIVER LUNI AT RANaNKPUR DAM, RANaNKPUR, PALI, RAJASTHAN",RAJASTHAN
311,"AMBA RIVER AT D/S OF WAKEN BRIDGE-U/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA
312,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA
313,"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA
314,"BHATSA RIVER AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA
315,"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA
316,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA
317,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",MAHARASHTRA
318,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA
319,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINaN ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA
320,"KUNDALIKA RIVER AT DHATAV AT JACKWELL (DRINKING WATER��PUMPING STATION-SWEET ZONE), ROHA",MAHARASHTRA
321,MITHI RIVER,MAHARASHTRA
323,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA
324,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",MAHARASHTRA
