station_code,dis_oxy,ph,conduct,bod,nit,total_coli
483,7.8,8,2225,5.5,2,2448
484,6.4,8,23125,4.8,2,178
489,6.8,8,1870,13,1,29
490,7.1,7.5,2100,21,1,95
499,5.9,7.8,1453,7.3,6.45,7
500,2.4,8,351,6.6,6.22,959
501,8.3,8.3,270,2.1,3,87
502,9.1,8,461,5.5,1.06,363
503,5.8,7.7,872,1.9,12,170
504,7.6,7.5,408,2,1.92,55
505,6.8,7.5,428,2.1,2,82
506,7.5,7.4,59,3.1,5,364
507,7.6,7.9,680,6.4,17,382
508,8.2,8.3,263,2.3,3,97
509,8.2,8.2,277,2.2,2,88
510,7.1,8.1,273,2.2,4,94
511,7.3,7.9,301,1.8,6.66,93
512,4.4,7.7,464,4.4,12,260
513,7.3,7.9,502,7.6,2,121
514,7.4,7.7,495,5,3,200
515,6.9,7.5,448,4.3,2,49
519,5.3,8.2,572,1.5,1,65
520,4.6,8.4,1463,3.2,1,557
521,4.7,8.2,321,1.5,1,242
522,5,8.4,583,1.2,1,12
523,8.4,8.3,300,1,2,21
524,5.7,8,295,1.1,1,9
525,4.5,7.9,483,1.5,1,15
526,5,8,314,1.9,2,7
527,5.1,7.9,266,0.9,1.08,7
528,5,8.6,604,1.2,2.29,11
529,4.9,8.6,593,1.1,1,7
530,4.4,8.1,538,1.2,1,14
531,5.6,8.4,591,1.1,3,8
532,5.8,8.5,588,1.2,3,6
533,4.1,7.9,1133,2.3,2,67
534,3.5,8.9,2004,6.5,1,248
600,6.7,7.5,85,1.4,1,420
601,5.8,7.4,77,1.4,0.8,691
602,6.6,7.5,75,1.4,0.7,448
603,6.7,7.5,82,1.4,1,443
604,6.7,6.9,56,0.9,0.2,172
605,6.5,6.7,2240,1.2,0.2,304
606,6.3,6.9,73,1.6,0,2008
607,7,7.4,130,0.7,0.1,590
608,6.6,7.7,191,1.6,0.2,661
609,6.9,6.9,134,1.1,0.4,531
610,7,7.5,80,0.8,0.4,3583
611,6.7,7.4,14526,0.8,0.6,1969
612,7.2,7.4,82,0.7,0.5,1311
613,7.5,7.2,67,1.1,0.1,590
614,3,6.6,965,1.7,1.2,530
615,5.9,7.4,17990,0.7,0.5,2803
616,6.7,7.5,90,1.6,0.9,473
617,6.1,7.4,4429,2,1.6,550
618,6.7,6.9,87,1.7,0.2,350
619,6.9,6.8,85,1.6,0.2,206
620,2.1,6.8,101,1.6,0.8,694
621,2.5,6.9,83,1.9,0.3,656
622,7.2,7.6,75,1.4,1,426
623,3.7,7.7,32005,1.2,0.9,60392
624,6.1,7.6,281,1.2,0.7,718
625,6.7,7.6,106,0.5,2.5,71
626,7.6,7.1,58,1.2,0.1,961
627,1.9,7.7,2941,26.9,2.8,37375
628,7.4,7,35,0.1,0,409
629,6.4,7.2,63,1.3,0.4,535
630,5.4,6.7,65,1.1,0.3,144
631,5.6,7.3,90,1.6,0.4,705
632,7.1,8,728,1.2,0.4,697
633,5.9,6.8,13953,1.5,0.4,166
634,7.4,6.9,57,1.1,0.3,159
635,7.2,7.2,41,0.7,0.2,658
636,6.5,7.4,71,0.6,0.3,7018
637,6.8,7.1,81,0.8,0,1268
638,6.8,6.9,68,1.7,0.1,660
639,6.6,7,70,1.4,0.1,822
640,6.4,7.7,100,0.6,0.9,88
641,7.3,6.9,96,1.9,0.2,825
642,6.8,6.6,49,0.5,0.4,2950
643,5.6,7.2,24360,2.1,0.3,447
644,6.9,6.8,59,0.6,0.5,3375
645,7.1,6.8,14410,1.8,0.1,468
646,6.2,7.2,22757,1.5,0.1,542
647,6.7,7.1,66,0.6,0,626
648,7.2,7,59,0.6,0,433
649,6,7.6,120,1.3,1.1,523
650,5.2,6.8,55,0.6,0.7,313
651,4.8,6.8,86,0.7,0.8,332
652,3.9,6.9,62,0.5,0.7,284
653,5,6.9,3185,1.8,0.4,667
654,7,7,36,1.1,0.2,541
655,6.3,6.9,64,1.2,0.3,815
656,6.2,6.9,86,1.3,0.2,1007
657,5.7,6.8,2640,1.9,0.5,759
658,5.7,6.9,53,3.1,0.4,1205
659,6.6,7.1,2007,1.3,0.2,785
660,6.6,7,46,1.3,0.3,472
661,6.5,6.5,43,0.9,0.4,188
662,6.7,6.3,54,0.9,0.1,610
663,4.3,7.2,113,1.8,0.4,796
664,4.6,6.7,12561,1.5,0.6,171
665,7.7,6.9,61,1.6,0,554
666,5.8,6.5,61,1,0.4,151
667,4.5,6.9,1614,2.1,0.6,230
668,6.9,7.2,20950,1.3,0.2,643
