station_code,tempurature,dis_oxy,ph,conduct,bod,nit,coli,total_coli,potable
424,21.6,6.9,7.5,469,0.8,0.5,2,1100,1
426,27.6,6.5,7.7,1127,5.7,0.3,3,108,0
427,22.1,5.2,7.9,306,4.5,2.2,47,136,0
428,21.6,4.7,7.9,262,3.4,1.2,33,106,0
429,21.9,5.5,8,247,3.7,1.1,39,104,0
430,22.7,5.4,8.1,244,3.6,1,44,117,0
431,21.3,4.9,7.9,272,3.4,0.6,59,155,0
432,25,5.8,8.3,506,8.5,2.6,14,34,0
433,24.6,5.1,8.3,534,9.5,3.2,26,50,0
434,25.3,4.9,8.4,966,12.8,11.7,133,247,0
435,31.2,5.2,8.3,432,9.8,2.3,113,186,0
436,31.1,4.7,8.2,432,11.2,2.3,150,246,0
437,28.9,7,8,736,1.5,4.9,700,1250,1
438,27.5,7.1,7.9,447,1.5,1,558,1040,1
439,27.5,6.8,7.4,237,4.5,0.2,796,1460,0
440,28.5,6.6,7.7,371,1.2,0.6,620,1080,1
441,28.5,6.9,8,1004,3.3,2.1,740,1390,0
442,27,7.1,7.9,1017,4,1.5,732,1350,0
443,25.8,7.2,7.9,286,2.4,0.1,71,157,1
444,26.1,7,8,415,2.9,0.3,93,191,1
445,29.9,7.2,7.9,613,1.9,0.2,927,1542,1
446,27,6.5,7.9,536,6,0.4,179,386,0
447,26.9,6.5,7.9,398,4,0.2,143,288,0
448,26.5,6.7,8,383,3.6,0.2,129,279,0
449,29.8,7.2,8.1,448,1.9,0.2,808,1425,1
450,26.1,7.2,7.9,313,2.7,0.1,69,152,1
451,26.2,7.2,7.9,290,2.9,0.1,55,133,1
452,27.7,7.1,8.1,956,2.2,2.5,18,544,1
453,27,6.9,8.2,999,3,3.1,23,620,0
454,27.6,6,7.8,166,3.5,0.2,273,734,0
455,28.5,6.4,8,219,3.3,0.3,150,291,0
456,21.8,5.5,13.7,223,1,0.1,718,2946,0
457,29.5,5.8,7.7,245,4.2,0.2,867,1542,0
458,28.8,6,7.8,226,3.3,0.2,145,302,0
459,29.6,6.5,8,154,2,0.2,58,130,1
460,21.5,5.5,7.4,185,1,0.1,532,2064,1
464,28.6,5.4,8.2,1062,2.1,2.6,21,67,1
465,25.5,6.9,8,838,0.9,0.6,2,1450,1
466,24,6.6,8.3,905,0.7,0.5,2,1400,1
