station_code,region,tempurature,dis_oxy,ph,conduct,bod,nit,coli,total_coli,grade
358,MAHARASHTRA,29.1,6.2,8.2,1010,5.1,2.3,164,1529,F
359,KARNaNTAKA,27.3,6.8,8.4,949,3.8,0.3,1483,1600,D
360,KARNaNTAKA,28.5,6.7,14.7,917,3,0.2,992,1542,F
361,KARNaNTAKA,29.6,7.6,8.1,834,2.1,0.2,1183,1600,C
362,KARNaNTAKA,29.2,6.4,8.4,874,3,0.3,1033,1483,D
363,GOA,29.8,5.7,7.2,189,2,0.2,4953,8391,D
364,GOA,29.5,6.3,6.9,179,1.7,0.1,3243,5330,D
365,GOA,29.7,5.8,6.9,64,3.8,0.5,5382,8443,D
366,GOA,29.5,5.8,7.3,83,1.9,0.4,3428,5500,D
367,GOA,30,5.5,7.4,81,1.5,0.1,2853,4049,C
368,GOA,29.2,6.1,6.7,308,1.4,0.3,3355,5672,D
369,GOA,29.6,6.4,6.7,414,1,0.2,6073,9423,D
370,GOA,30,6.4,7.6,305,2.2,0.1,3478,4990,C
371,GOA,30.1,6.3,7.6,77,2.3,0.1,2606,4301,C
372,GOA,27.8,7.1,7.1,176,1.2,0.1,4573,7817,D
373,GOA,27.9,6.7,6.4,93,1.4,0.1,2147,3433,C
374,GOA,29.3,7.4,6.8,121,1.7,0.4,11633,18125,D
375,GOA,29.2,6.9,7,620,1.1,0.1,3500,6300,D
376,GOA,30,6,7.5,72,1.6,0.2,4995,9517,D
377,GOA,29,7.3,7,247,1.5,0.2,1095,2453,C
378,GOA,29.1,7.3,7,188,1,0.1,1286,3048,C
379,GOA,28.7,7,6.9,224,1.2,0.3,3896,6742,D
380,GOA,28.7,7.3,6.7,144,1.5,0.1,1940,3052,C
381,GOA,29.5,5.3,6.8,319,1.8,0.3,6458,10250,D
382,GOA,29,6.3,6.4,79,1.6,1.4,7592,12842,E
383,GOA,29.4,5.4,7.6,39,1.4,0.1,3176,6367,D
384,GOA,28.3,2.2,6.5,322,4.7,1.2,11210,14920,E
385,GOA,30.1,5.2,7.1,192,2.6,0.3,5073,8925,D
386,GOA,30.3,5.6,7.5,282,1.8,0.1,3205,5082,D
639,KERALA,28.5,6.6,7,70,1.4,0.1,550,822,C
387,GOA,30.5,5.5,7.4,275,1.5,0.1,4698,8625,D
388,GOA,29.1,7.3,6.7,55,1.4,0.1,2638,4003,C
389,GOA,30.1,6.5,7.5,415,2,0.1,864,1538,C
390,GOA,29.2,7.2,6.3,100,1.5,0.1,7942,13575,E
393,MAHARASHTRA,26.3,6.6,7.9,1610,4.7,0.4,2,107,D
394,ANDHRA PRADESH,29.1,5.8,8.2,498,1.3,2,13,102,B
395,ANDHRA PRADESH,29.6,5.2,8.2,555,1.6,2.9,19,158,B
396,ANDHRA PRADESH,28.5,6.3,8.4,451,0.8,0.9,9,90,B
397,ANDHRA PRADESH,28.3,6.6,8.4,427,1,1,9,82,B
398,KARNaNTAKA,27.9,7,7.8,543,2.3,1.3,786,1400,C
401,MAHARASHTRA,26.1,5.1,8.1,369,11.3,1.1,140,220,D
402,MAHARASHTRA,24.9,6,8.2,403,8.9,1,90,130,D
403,MAHARASHTRA,23.9,6.2,8.2,458,8.9,2.2,110,140,F
404,MAHARASHTRA,23.4,5.1,8.2,577,10.7,2.3,110,140,F
405,MAHARASHTRA,24.4,5.4,8.1,678,10.6,2.7,50,80,F
406,MAHARASHTRA,23.7,5.7,8.2,498,8.9,2.1,40,70,F
407,MADHYA PRADESH,22.7,7.4,7.4,450,2.2,0.4,39,67,B
408,MADHYA PRADESH,21.4,7.3,8,386,2.3,1,15,95,B
409,MADHYA PRADESH,23,7.7,8.1,292,1.5,4.8,0,36,A
410,MAHARASHTRA,33.3,4.8,8.3,482,10.8,6,170,277,F
411,MAHARASHTRA,28.1,5.9,8.1,341,9.1,1.2,82,132,E
412,MAHARASHTRA,27.3,5.3,8.2,273,9.6,1.7,98,180,E
413,MAHARASHTRA,25.1,6.2,8.2,393,9.1,2.4,110,170,F
414,MAHARASHTRA,24.3,5.3,8.2,388,10.6,1.2,140,240,E
415,MAHARASHTRA,24.1,5.7,8.2,366,8.6,0.9,170,280,D
416,MAHARASHTRA,24.1,5.5,8.2,607,10.4,2.9,114,193,F
