STATION CODE|LOCATIONS|STATE|TEMP|DO|pH|CONDUCTIVITY|BOD|NITRATE_N_NITRITE_N|FECAL_COLIFORM|TOTAL_COLIFORM
111|KRISHNaN D/S OF ISLAMPUR|MAHARASHTRA|25.0|6.7|7.6|441.0|2.9|1.5|2.0|80.0
113|KRISHNaN AT KURUNDWAD IN KOLHAPUR,MAHARASHTRA|MAHARASHTRA|24.0|7.0|7.5|400.0|2.8|1.2|4.0|110.0
114|KRISHNaN RIVER AT KSHETRA MAHULI.|MAHARASHTRA|20.8|6.1|8.4|551.0|5.6|2.3|183.0|1377.0
115|KRISHNaN RIVER AT KRISHNaN-VENNaN SANGAM AT MAHULI.|MAHARASHTRA|22.0|6.2|8.3|458.0|4.6|2.3|191.0|1481.0
116|KRISHNaN RIVER AT WAI.|MAHARASHTRA|22.7|6.1|8.2|413.0|5.5|1.8|171.0|1257.0
117|KRISHNaN AT U/S OF UGARKHURD BARRAGE,KARNaNTAKA|KARNaNTAKA|29.0|7.5|8.0|685.0|2.1|2.3|780.0|1390.0
118|KRISHNaN - ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD|KARNaNTAKA|28.0|7.5|8.0|808.0|1.8|2.1|890.0|1460.0
119|KRISHNaN AT D/S OF NaNRAYANPURA DAM,KARNaNTAKA|KARNaNTAKA|29.3|5.9|8.3|521.0|1.5|0.4|518.0|1110.0
120|KRISHNaN AT D/S OF DEVASAGAR BDG.,KARNaNTAKA|KARNaNTAKA|29.4|7.2|8.3|916.0|1.9|0.2|792.0|1483.0
121|KRISHNaN AT TINTINI BRIDGE, KARNaNTAKA|KARNaNTAKA|29.5|7.1|8.2|718.0|1.9|0.2|538.0|1100.0
122|KRISHNaN AT D/S OF ALAMATTI DAM, KARNaNTAKA|KARNaNTAKA|29.2|6.2|8.3|513.0|1.4|0.5|678.0|1250.0
124|KRISHNaN AFTER CONFL. WITH TUNGABHADRA, SANGAMESHWARAM A.P.|ANDHRA PRADESH|26.0|6.7|8.1|791.0|2.6|2.0|28.0|611.0
126|KRISHNaN AT WADAPALLY AFTER CONFL. WITH R. MUSI, A.P.(SHIFTED FROM 1220)|ANDHRA PRADESH|28.4|5.7|8.7|1072.0|1.6|1.2|11.0|122.0
127|VEDADRI , GUNTUR DIST., A.P|ANDHRA PRADESH|24.9|6.8|7.9|726.0|0.9|0.6|2.0|1875.0
128|AMARAVATI , GUNTUR DIST., A.P|ANDHRA PRADESH|27.6|7.0|7.8|669.0|0.6|0.4|2.0|1613.0
129|KRISHNaN AT VIJAYWADA, A.P.|ANDHRA PRADESH|25.8|7.2|8.0|669.0|0.7|0.7|2.0|1750.0
130|KRISHNaN D/S OF SRISHAILAM,��KURNOOL, A.P.|ANDHRA PRADESH|28.4|6.8|8.2|818.0|2.9|2.0|36.0|860.0
131|HAMSALA DEEVI , GUNTUR DIST, A.P|ANDHRA PRADESH|26.0|5.5|7.6|14804.0|0.7|0.7|2.0|1450.0
134|YAMUNaN , U/S PAONTA SAHIB, H.P|HIMACHAL PRADESH|22.3|7.7|7.5|465.0|1.2|0.2|9.0|19.0
