STATION CODE,STATE,District,Lat,Lng
754,Meghalaya,East Khasi Hills district,25.3682,91.7539
755,Meghalaya,East Khasi Hills district,25.3682,91.7539
756,Meghalaya,East Khasi Hills district,25.3682,91.7539
757,Meghalaya,East Khasi Hills district,25.3682,91.7539
758,Meghalaya,East Khasi Hills district,25.3682,91.7539
759,Meghalaya,East Khasi Hills district,25.3682,91.7539
760,Meghalaya,East Khasi Hills district,25.3682,91.7539
761,Meghalaya,East Khasi Hills district,25.3682,91.7539
762,Meghalaya,East Khasi Hills district,25.3682,91.7539
763,Meghalaya,East Khasi Hills district,25.3682,91.7539
764,Meghalaya,East Khasi Hills district,25.3682,91.7539
765,Meghalaya,East Khasi Hills district,25.3682,91.7539
766,Meghalaya,East Khasi Hills district,25.3682,91.7539
767,Meghalaya,East Khasi Hills district,25.3682,91.7539
768,Meghalaya,East Khasi Hills district,25.3682,91.7539
769,Meghalaya,West Khasi Hills district,25.5625,91.2891
770,Meghalaya,West Khasi Hills district,25.5625,91.2891
771,Meghalaya,West Khasi Hills district,25.5625,91.2891
772,Meghalaya,West Khasi Hills district,25.5625,91.2891
774,Mizoram,Aizawl district,23.8789,92.8976
777,Tripura,South tripura,23.2317,91.5596
778,Tripura,South tripura,23.2317,91.5596
779,Tripura,West Tripura,23.8997,91.4048
781,Gujarat,Mehsana,23.6009,72.3898
782,Gujarat,Patan,23.8300,72.1200
784,Gujarat,Patan,23.8300,72.1200
786,Gujarat,Patan,23.8300,72.1200
788,Gujarat,Navsari,20.9491,72.9136
790,Gujarat,Navsari,20.9491,72.9136
793,Gujarat,Navsari,20.9491,72.9136
796,Goa,South Goa,15.1177,74.124
797,Goa,South Goa,15.1177,74.124
798,Goa,South Goa,15.1177,74.124
799,Goa,South Goa,15.1177,74.124
800,Goa,South Goa,15.1177,74.124
801,Goa,South Goa,15.1177,74.124
802,Goa,South Goa,15.1177,74.124
803,Goa,South Goa,15.1177,74.124
804,Goa,South Goa,15.1177,74.124
805,Goa,South Goa,15.1177,74.124
806,Goa,South Goa,15.1177,74.124
807,Goa,South Goa,15.1177,74.124
808,Goa,South Goa,15.1177,74.124
809,Goa,South Goa,15.1177,74.124
810,Goa,South Goa,15.1177,74.124
811,Goa,South Goa,15.1177,74.124
812,Goa,South Goa,15.1177,74.124
813,Goa,South Goa,15.1177,74.124
814,Goa,South Goa,15.1177,74.124
815,Goa,South Goa,15.1177,74.124
816,Goa,South Goa,15.1177,74.124
817,Goa,South Goa,15.1177,74.124
818,Goa,South Goa,15.1177,74.124
819,Goa,South Goa,15.1177,74.124
820,Goa,South Goa,15.1177,74.124
821,Goa,South Goa,15.1177,74.124
822,Goa,South Goa,15.1177,74.124
823,Goa,South Goa,15.1177,74.124
824,Maharashtra,Raigad Fort,18.2350,73.4478
