STATION CODE,Potability
1151.0,0
1462.0,0
2685.0,0
2686.0,0
2687.0,0
2688.0,0
2689.0,0
2199.0,0
2701.0,0
2702.0,0
2703.0,0
2704.0,0
2706.0,0
2707.0,0
2708.0,0
2709.0,0
1094.0,0
2162.0,0
2712.0,0
2164.0,1
2713.0,0
2714.0,1
1342.0,1
1443.0,1
3465.0,1
3466.0,1
2297.0,1
2319.0,1
2286.0,1
2331.0,1
2332.0,1
1154.0,1
20.0,1
21.0,1
3464.0,1
1572.0,1
1573.0,0
2295.0,1
1564.0,1
2287.0,1
1566.0,1
2293.0,1
2337.0,0
2338.0,0
42.0,1
2294.0,0
3460.0,1
3458.0,1
1571.0,1
1155.0,0
3471.0,1
2289.0,1
2301.0,1
2291.0,1
2326.0,1
1569.0,1
2298.0,1
1567.0,0
1568.0,1
2285.0,1
1340.0,1
1384.0,1
3459.0,1
2307.0,1
1339.0,1
2304.0,1
43.0,1
2302.0,1
1570.0,1
1563.0,1
2284.0,1
2288.0,1
1156.0,1
1341.0,1
1565.0,1
17.0,1
18.0,1
1338.0,1
2333.0,1
2334.0,1
2335.0,1
2336.0,1
3468.0,1
2300.0,1
2303.0,1
2290.0,1
2299.0,0
2305.0,1
2296.0,1
2292.0,1
2306.0,1
3473.0,1
1442.0,1
1448.0,1
2352.0,1
3080.0,1
3081.0,1
1444.0,1
2780.0,1
1894.0,1
1892.0,1
2423.0,0
2424.0,0
2425.0,0
2422.0,0
1642.0,0
1643.0,1
1455.0,0
1456.0,0
2426.0,0
2427.0,0
1450.0,1
1159.0,0
1160.0,0
1161.0,0
1162.0,0
1328.0,0
1329.0,0
1330.0,0
3025.0,0
3026.0,0
3027.0,0
3028.0,0
